rain,from,to,count
1,upper east side,central park,31
1,north sutton area,murray hill,2
1,tribeca,carroll gardens,1
1,soho,upper east side,8
1,lower east side,chinatown,1
1,financial district,morningside heights,2
1,lower east side,williamsburg,2
1,central park,murray hill,1
1,LGA,canarsie,1
1,gramercy,west village,10
1,lower east side,financial district,6
1,boerum hill,williamsburg,2
1,soho,financial district,8
1,park slope,west village,2
1,financial district,astoria-long island city,1
1,gramercy,tribeca,3
1,carroll gardens,mapleton-flatlands,2
1,garment district,greenwich village,18
1,west village,little italy,5
1,little italy,garment district,4
1,jackson height,LGA,2
1,JFK,soho,1
1,upper east side,upper east side,379
1,soho,JFK,2
1,upper east side,washington heights,1
1,astoria-long island city,sunny side,1
1,east village,clinton,2
1,soho,lower east side,3
1,west village,north sutton area,1
1,upper east side,yorkville,19
1,upper west side,upper east side,72
1,chelsea,east harlem,1
1,battery park,west village,2
1,forest hills,gramercy,2
1,carnegie hill,carnegie hill,2
1,west village,fordham,2
1,upper east side,gramercy,33
1,garment district,JFK,1
1,north sutton area,east village,2
1,harlem,harlem,8
1,upper west side,financial district,2
1,upper east side,JFK,5
1,north sutton area,west village,1
1,JFK,astoria-long island city,4
1,garment district,chinatown,2
1,hamilton heights,harlem,1
1,garment district,financial district,2
1,JFK,clinton,3
1,harlem,central park,4
1,north sutton area,JFK,4
1,upper west side,LGA,9
1,financial district,chelsea,12
1,upper west side,chelsea,26
1,carnegie hill,yorkville,3
1,garment district,washington heights,2
1,upper east side,bay ridge,2
1,chelsea,soho,16
1,williamsburg,midtown,2
1,greenwich village,clinton,12
1,yorkville,east harlem,2
1,midtown,mapleton-flatlands,2
1,west village,washington heights,3
1,upper east side,east village,8
1,gramercy,williamsburg,2
1,harlem,upper east side,4
1,lower east side,tribeca,4
1,upper west side,bay ridge,2
1,midtown,upper east side,165
1,little italy,little italy,3
1,battery park,clinton,1
1,carnegie hill,greenwich village,2
1,soho,chinatown,1
1,park slope,park slope,2
1,soho,chelsea,32
1,gramercy,forest hills,2
1,greenwich village,brooklyn-downtown,2
1,JFK,bedford-stuyvesant,4
1,financial district,chinatown,2
1,battery park,upper west side,1
1,financial district,carroll gardens,1
1,upper east side,canarsie,2
1,battery park,JFK,4
1,chelsea,upper west side,19
1,harlem,country club,1
1,greenwich village,tribeca,17
1,yorkville,chelsea,2
1,midtown,west village,8
1,gramercy,upper west side,10
1,garment district,central park,4
1,midtown,LGA,11
1,morningside heights,upper west side,11
1,midtown,chelsea,41
1,garment district,upper west side,10
1,upper west side,washington heights,6
1,chelsea,central park,5
1,clinton,garment district,5
1,gramercy,clinton,12
1,gramercy,upper east side,37
1,west village,upper east side,6
1,park slope,brooklyn-downtown,2
1,tribeca,west village,11
1,brooklyn-downtown,murray hill,1
1,clinton,soho,2
1,tribeca,east village,5
1,garment district,carnegie hill,5
1,morningside heights,hamilton heights,1
1,murray hill,west village,6
1,tribeca,soho,3
1,fort green,brooklyn-downtown,2
