temp,from,to,count
2,sunny side,midtown,1
2,morningside heights,upper east side,8
2,mapleton-flatlands,mapleton-flatlands,1
2,west village,west village,6
2,murray hill,north sutton area,11
2,hamilton heights,financial district,1
2,harlem,morningside heights,1
2,yorkville,greenwich village,1
2,chinatown,gramercy,4
2,clinton,hamilton heights,1
2,chinatown,upper west side,2
2,yorkville,hamilton heights,2
2,garment district,clinton,34
2,JFK,carroll gardens,5
2,astoria-long island city,sunny side,4
2,chelsea,financial district,14
2,east harlem,yorkville,3
2,morningside heights,murray hill,1
2,financial district,little italy,8
2,clinton,astoria-long island city,2
2,gramercy,little italy,5
2,financial district,upper east side,15
2,chelsea,midtown,108
2,little italy,greenwich village,7
2,clinton,financial district,3
2,LGA,chelsea,7
2,west village,carroll gardens,1
2,battery park,williamsburg,1
2,LGA,borough park,2
2,tribeca,tribeca,10
2,morningside heights,midtown,7
2,astoria-long island city,gramercy,1
2,greenwich village,chelsea,47
2,financial district,central park,1
2,bedford-stuyvesant,JFK,1
2,JFK,park slope,5
2,battery park,LGA,2
2,midtown,bushwick,1
2,JFK,ridgewood,3
2,central park,gramercy,8
2,midtown,battery park,18
2,LGA,wakefield-williamsbridge,1
2,gramercy,glendale,1
2,east village,soho,9
2,financial district,bensonhurst,1
2,west village,gramercy,9
2,sunny side,clinton,1
2,carnegie hill,upper east side,53
2,clinton,clinton,25
2,chelsea,north sutton area,1
2,upper west side,yorkville,13
2,yorkville,upper east side,20
2,east village,williamsburg,1
2,upper west side,garment district,25
2,lower east side,garment district,8
2,harlem,washington heights,1
2,murray hill,washington heights,3
2,chinatown,upper east side,1
2,gramercy,soho,36
2,hamilton heights,upper west side,3
2,boerum hill,boerum hill,1
2,jamaica,sunny side,1
2,garment district,east village,10
2,financial district,sunny side,2
2,jackson height,astoria-long island city,1
2,clinton,east village,7
2,greenwich village,west village,18
2,murray hill,upper east side,57
2,tribeca,upper east side,3
2,LGA,clinton,6
2,upper east side,sunny side,4
2,woodside,astoria-long island city,1
2,battery park,upper east side,2
2,financial district,LGA,6
2,LGA,east brooklyn,1
2,midtown,chinatown,3
2,carnegie hill,midtown,18
2,tribeca,little italy,1
2,upper east side,mott haven,1
2,JFK,tribeca,2
2,upper west side,harlem,27
2,upper west side,east harlem,7
2,east village,battery park,2
2,gramercy,central park,3
2,greenwich village,gramercy,49
2,soho,north sutton area,1
2,clinton,battery park,4
2,midtown,park slope,3
2,chelsea,jackson height,2
2,harlem,upper west side,5
2,upper west side,murray hill,8
2,lower east side,murray hill,2
2,little italy,gramercy,6
2,LGA,sunset park,1
2,greenwich village,upper east side,12
2,LGA,bushwick,7
2,soho,harlem,1
2,JFK,mapleton-flatlands,4
2,JFK,middle village,2
2,midtown,bensonhurst,1
2,williamsburg,murray hill,1
2,tribeca,clinton,5
2,chelsea,carnegie hill,1
2,bensonhurst,bensonhurst,2
2,battery park,lower east side,3
2,lower east side,fort green,2
2,east village,lower east side,11
2,little italy,east village,7
2,lower east side,hamilton heights,1
2,soho,clinton,3
2,gramercy,yorkville,6
2,central park,garment district,10
2,LGA,williamsburg,5
2,east village,tribeca,2
2,midtown,borough park,1
2,west village,murray hill,7
2,upper east side,west village,7
2,chelsea,gramercy,105
2,garment district,tribeca,15
2,chinatown,garment district,1
2,JFK,morningside heights,2
2,morningside heights,gramercy,1
2,west village,battery park,6
2,clinton,north sutton area,2
2,soho,carnegie hill,1
2,west village,clinton,12
2,lower east side,east village,8
2,woodhaven-richmond hill,woodhaven-richmond hill,1
2,gramercy,morningside heights,1
2,tribeca,LGA,1
2,JFK,gramercy,17
2,washington heights,harlem,1
2,east village,midtown,17
2,battery park,murray hill,4
2,sunny side,astoria-long island city,2
2,upper east side,borough park,2
2,hamilton heights,chelsea,2
2,midtown,murray hill,113
2,murray hill,boerum hill,1
2,astoria-long island city,woodside,3
2,garment district,gramercy,66
2,upper west side,financial district,5
2,financial district,flushing,1
2,tribeca,chelsea,13
2,clinton,carnegie hill,2
2,soho,park slope,1
2,soho,fort green,1
2,central park,morningside heights,1
2,flushing,astoria-long island city,1
2,chelsea,chelsea,119
2,chinatown,little italy,2
2,greenwich village,upper west side,8
2,chelsea,west village,36
2,chinatown,chinatown,1
2,battery park,carnegie hill,1
2,chinatown,washington heights,1
2,east village,greenwich village,36
2,mott haven,harlem,1
2,east village,north sutton area,1
2,soho,west village,9
2,clinton,upper west side,22
2,midtown,east harlem,2
2,little italy,soho,5
2,upper east side,murray hill,46
2,maspeth,midtown,2
2,JFK,LGA,7
2,upper east side,LGA,7
2,utopia,utopia,1
2,LGA,jackson height,3
2,east harlem,upper east side,6
2,chinatown,east village,2
2,carnegie hill,murray hill,5
2,chelsea,murray hill,37
2,morningside heights,harlem,4
2,upper west side,lower east side,1
2,morningside heights,JFK,2
2,murray hill,greenwich village,17
2,borough park,dyker heights,1
2,chinatown,midtown,1
2,garment district,little italy,4
2,gramercy,park slope,1
2,east harlem,midtown,1
2,astoria-long island city,JFK,3
2,fort green,financial district,1
2,tribeca,upper west side,1
2,central park,north sutton area,1
2,boerum hill,carroll gardens,1
2,borough park,borough park,1
2,upper east side,clinton,27
2,gramercy,south beach,1
2,murray hill,LGA,11
2,chelsea,upper east side,30
2,upper east side,gravesend-sheepshead bay,2
2,garment district,yorkville,2
2,JFK,maspeth,1
2,murray hill,gramercy,60
2,financial district,midtown,50
2,upper east side,east harlem,25
2,LGA,woodside,4
2,murray hill,garment district,40
2,clinton,washington heights,1
2,murray hill,tribeca,6
2,gramercy,carnegie hill,4
