YR--MODAHRMN,TEMP
201507100751,75
201507100851,75
201507100900,78
201507100951,78
201507101051,79
201507101151,79
201507101200,79
201507101251,81
201507101351,82
201507101451,82
201507101500,84
201507101551,85
201507101651,85
201507101751,85
201507101800,85
201507101851,81
201507101951,79
201507102051,79
201507102100,78
201507102151,75
201507102251,74
201507102351,74
201507110000,74
201507110051,74
201507110151,****
201507110251,74
201507110300,74
201507110351,73
201507110451,73
201507110459,72
201507110551,72
201507110600,70
201507110651,73
201507110751,74
201507110851,74
201507110900,78
201507110951,82
201507111051,82
201507111151,82
201507111200,85
201507111251,85
201507111351,84
201507111451,84
201507111500,84
201507111551,84
201507111651,83
201507111751,83
201507111800,82
201507111851,80
201507111951,77
201507112051,77
201507112100,75
201507112151,74
201507112251,75
201507112351,75
201507120000,75
201507120051,74
201507120151,****
201507120251,74
201507120300,74
201507120351,73
201507120451,72
201507120459,73
201507120551,73
201507120600,72
201507120651,73
201507120751,76
201507120851,79
201507120900,79
201507120944,82
201507120951,84
201507121051,84
201507121151,84
201507121200,85
201507121251,85
201507121351,86
201507121451,86
201507121500,85
201507121551,83
201507121651,81
201507121751,81
201507121800,80
201507121851,79
201507121951,78
201507122051,78
201507122100,77
201507122151,76
201507122251,75
201507122351,75
201507130000,74
201507130051,74
201507130151,****
201507130251,74
201507130300,74
201507130351,73
201507130451,73
201507130459,73
201507130551,73
201507130600,72
201507130651,73
201507130751,76
201507130851,76
201507130900,78
201507130951,81
201507131051,78
201507131151,78
201507131200,80
201507131251,82
201507131351,82
201507131451,82
201507131500,82
201507131551,82
201507131651,81
201507131751,81
201507131800,78
201507131851,78
201507131951,76
201507132051,76
201507132100,74
201507132151,74
201507132251,74
201507132351,74
201507140000,74
201507140051,74
201507140151,****
201507140251,74
201507140300,74
201507140351,74
201507140451,74
201507140459,74
201507140551,74
201507140600,73
201507140651,75
201507140751,77
201507140851,77
201507140900,78
201507140951,78
201507141051,79
201507141151,79
201507141200,80
201507141251,79
201507141351,79
201507141451,77
201507141500,77
201507141551,77
201507141615,75
201507141618,77
201507141625,77
201507141649,77
201507141651,77
201507141741,77
201507141751,78
201507141800,77
201507141847,77
201507141851,77
201507141901,79
201507141951,79
201507142021,78
201507142051,78
201507142100,79
201507142111,78
201507142147,78
201507142151,76
201507142251,76
201507142344,76
201507142351,76
201507150000,75
