YR--MODAHRMN,MAX,MIN,PCP01,SD
201501211500,***,***,0,**
201501211551,***,***,0,**
201501211651,***,***,0,**
201501211751,***,***,*****,**
201501211800,***,***,0,**
201501211851,***,***,0,**
201501211951,38,34,0,**
201501212051,38,26,*****,**
201501212100,***,***,0,**
201501212151,***,***,0,**
201501212251,***,***,0,**
201501212351,***,***,*****,**
201501220000,***,***,0,**
201501220051,38,26,0,**
201501220151,38,***,*****,0
201501220251,35,34,0,**
201501220300,35,26,*****,**
201501220351,***,***,0,**
201501220451,***,***,*****,**
201501220459,***,***,0,**
201501220551,***,***,0,**
201501220600,***,***,*****,**
201501220651,***,***,0,**
201501220723,***,***,0,**
201501220751,***,***,*****,**
201501220851,34,33,0,**
201501220900,38,33,*****,**
201501220951,***,***,*****,**
201501221051,***,***,0,**
201501221058,***,***,*****,**
201501221151,***,***,0,**
201501221200,***,***,0,**
201501221221,***,***,*****,**
201501221251,***,***,0,**
201501221344,***,***,0,**
201501221351,38,33,0,**
201501221451,38,33,*****,**
201501221500,***,***,0,**
201501221551,***,***,0,**
201501221651,***,***,0,**
201501221751,***,***,*****,**
201501221800,***,***,0,**
201501221851,***,***,0,**
201501221951,41,36,0,**
201501222051,41,33,*****,**
201501222100,***,***,0,**
201501222151,***,***,0,**
201501222251,***,***,0,**
201501222351,***,***,*****,**
201501230000,***,***,0,**
201501230051,41,31,0,**
201501230151,41,***,*****,0
201501230251,38,31,0,**
201501230300,38,31,*****,**
201501230351,***,***,0,**
201501230451,***,***,0,**
201501230459,***,***,0,**
201501230551,***,***,*****,**
201501230600,***,***,0,**
201501230651,***,***,0,**
201501230751,31,28,0,**
201501230851,41,28,*****,**
201501230900,***,***,0,**
201501230951,***,***,0,**
201501231051,***,***,0,**
201501231151,***,***,*****,**
201501231200,***,***,0,**
201501231251,***,***,0,**
201501231351,37,28,0,**
201501231451,37,28,*****,**
201501231500,***,***,0,**
201501231551,***,***,0,**
201501231651,***,***,0,**
201501231751,***,***,*****,**
201501231800,***,***,0,**
201501231851,***,***,0,**
201501231951,39,36,0,**
201501232051,39,28,*****,**
201501232100,***,***,0,**
201501232151,***,***,0,**
201501232251,***,***,0,**
201501232351,***,***,*****,**
201501240000,***,***,0,**
201501240051,39,28,0,**
201501240151,39,***,*****,0
201501240251,***,***,0,**
201501240300,***,***,*****,**
201501240351,38,34,0.01,**
201501240451,38,28,*****,**
201501240459,***,***,0.03,**
201501240518,***,***,0.09,**
201501240549,***,***,0.14,**
201501240551,***,***,0.01,**
201501240600,***,***,0.01,**
201501240627,***,***,0.12,**
201501240651,***,***,*****,**
201501240751,***,***,0.07,**
201501240753,***,***,0.11,**
201501240755,***,***,0.07,**
201501240851,***,***,0.11,**
201501240900,34,33,0.08,3
201501240929,39,33,*****,3
201501240951,***,***,*****,**
201501241024,***,***,0.03,**
201501241051,***,***,0.01,**
201501241151,***,***,0.01,**
201501241200,***,***,*****,**
201501241249,***,***,0.01,**
201501241251,***,***,0,**
201501241351,***,***,0.01,**
201501241451,36,34,0.01,2
201501241500,36,34,*****,2
201501241551,***,***,0,**
201501241651,***,***,*****,**
201501241733,***,***,0,**
201501241751,***,***,*****,**
201501241800,***,***,*****,**
201501241851,***,***,0,T**
201501241949,***,***,*****,T**
201501241951,***,***,0,**
201501242024,***,***,0.01,**
201501242049,***,***,0.01,**
201501242051,***,***,*****,**
201501242100,***,***,0.01,**
201501242126,40,36,0,1
201501242151,40,33,*****,1
201501242202,***,***,0,**
201501242249,***,***,0,**
201501242251,***,***,0,**
201501242351,***,***,*****,**
201501250000,***,***,0,**
201501250051,40,33,0,**
201501250151,40,***,*****,3
201501250251,40,36,0,**
201501250300,40,33,*****,**
201501250351,***,***,0,**
201501250451,***,***,0,**
201501250459,***,***,0,**
201501250551,***,***,*****,**
201501250600,***,***,0,**
201501250651,***,***,0,**
201501250751,37,34,0,**
201501250851,40,34,*****,**
201501250900,***,***,0,**
201501250951,***,***,0,**
201501251051,***,***,0,**
201501251151,***,***,*****,**
201501251200,***,***,0,**
201501251251,***,***,0,**
201501251351,45,35,0,**
201501251451,45,35,*****,**
201501251500,***,***,0,**
201501251551,***,***,0,**
201501251651,***,***,0,**
201501251751,***,***,*****,**
201501251800,***,***,0,**
201501251851,***,***,0,**
201501251951,45,36,0,**
201501252051,45,34,*****,**
201501252100,***,***,0,**
201501252151,***,***,0,**
201501252251,***,***,0,**
201501252351,***,***,*****,**
201501260000,***,***,0,**
201501260051,45,32,0,**
201501260151,45,***,*****,0
201501260251,37,30,0,**
201501260300,37,30,*****,**
201501260351,***,***,0,**
201501260451,***,***,0,**
201501260459,***,***,0,T**
201501260551,***,***,*****,T**
201501260600,***,***,0,**
201501260651,***,***,0,**
201501260751,30,25,0,**
201501260851,45,25,*****,**
201501260900,***,***,0,**
201501260951,***,***,0,**
201501261051,***,***,0,**
201501261151,***,***,0,**
201501261200,***,***,0,**
201501261251,***,***,0,T**
201501261323,***,***,*****,T**
201501261351,***,***,0.01,**
201501261416,***,***,0,**
201501261444,***,***,0,**
201501261451,***,***,0,**
201501261500,***,***,0,**
201501261551,27,24,0,**
201501261621,30,24,0,**
201501261651,***,***,0,**
201501261716,***,***,0.03,**
201501261741,***,***,0.03,**
201501261751,***,***,0,**
201501261800,***,***,0.02,**
201501261824,***,***,*****,**
201501261851,***,***,0,**
201501261951,***,***,0.02,**
201501262032,***,***,0.01,**
201501262051,27,24,0.06,3
201501262100,27,24,*****,3
201501262151,***,***,0.02,**
201501262251,***,***,0,**
201501262315,***,***,0,**
201501262351,***,***,0,**
201501270000,***,***,*****,**
201501270051,***,***,*****,**
201501270118,***,***,0,**
201501270151,***,***,0,**
201501270251,***,***,0.01,**
201501270300,32,24,0.02,**
201501270349,32,***,*****,0
201501270351,28,26,0,6
201501270424,30,25,*****,6
201501270438,***,***,*****,**
201501270451,***,***,0,**
201501270459,***,***,*****,**
201501270551,***,***,0.01,**
201501270600,***,***,*****,**
201501270649,***,***,0,**
201501270651,***,***,*****,**
201501270749,***,***,0,**
201501270751,***,***,0,**
201501270849,***,***,*****,**
201501270851,***,***,0.01,**
201501270900,26,21,0.01,9
201501270948,32,21,*****,9
201501270951,***,***,*****,**
201501271049,***,***,0,**
201501271051,***,***,0,**
201501271151,***,***,*****,**
201501271200,***,***,0,**
201501271249,***,***,0,**
201501271251,***,***,0.02,**
201501271314,***,***,0.02,**
201501271349,***,***,*****,**
201501271351,***,***,0,**
201501271421,***,***,*****,**
201501271448,***,***,0,**
201501271451,***,***,0.01,**
201501271500,25,21,0.01,11
201501271551,26,21,*****,11
201501271649,***,***,0,**
201501271651,***,***,0,**
201501271737,***,***,0,T**
201501271751,***,***,*****,**
201501271800,***,***,0,**
201501271851,***,***,0,**
201501271951,27,25,0,10
201501272051,27,21,*****,10
201501272100,***,***,0,**
201501272151,***,***,0,**
201501272251,***,***,0,**
201501272351,***,***,*****,**
201501280000,***,***,0,**
201501280051,27,20,0,**
201501280151,27,***,*****,9
201501280251,26,19,0,10
201501280300,26,19,*****,10
201501280351,***,***,0,**
201501280451,***,***,0,**
201501280459,***,***,0,**
201501280551,***,***,*****,**
